Var1,Freq,names.mytab.
"Apps,Online,Cable television,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok)",3,"Apps,Online,Cable television,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Cable television,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Cable television,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Cable television,Social Media (e.g. Facebook, Instagram, TikTok)",23,"Apps,Online,Cable television,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Cable television,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",6,"Apps,Online,Cable television,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Newspaper",5,"Apps,Online,Newspaper"
"Apps,Online,Newspaper,Print Magazine",4,"Apps,Online,Newspaper,Print Magazine"
"Apps,Online,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",6,"Apps,Online,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Newspaper,Print Magazine,Word of mouth",1,"Apps,Online,Newspaper,Print Magazine,Word of mouth"
"Apps,Online,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",9,"Apps,Online,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",3,"Apps,Online,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Not applicable",1,"Apps,Online,Not applicable"
"Apps,Online,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Print Magazine,Word of mouth",1,"Apps,Online,Print Magazine,Word of mouth"
"Apps,Online,Radio",6,"Apps,Online,Radio"
"Apps,Online,Radio,Newspaper",2,"Apps,Online,Radio,Newspaper"
"Apps,Online,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",2,"Apps,Online,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",6,"Apps,Online,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Radio,Newspaper,Word of mouth",2,"Apps,Online,Radio,Newspaper,Word of mouth"
"Apps,Online,Radio,Satellite Radio,Newspaper",2,"Apps,Online,Radio,Satellite Radio,Newspaper"
"Apps,Online,Radio,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Apps,Online,Radio,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Radio,Satellite Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Radio,Satellite Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Radio,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok)",2,"Apps,Online,Radio,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Radio,Social Media (e.g. Facebook, Instagram, TikTok)",8,"Apps,Online,Radio,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",10,"Apps,Online,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Radio,Word of mouth",2,"Apps,Online,Radio,Word of mouth"
"Apps,Online,Satellite Radio",1,"Apps,Online,Satellite Radio"
"Apps,Online,Satellite Radio,Newspaper",1,"Apps,Online,Satellite Radio,Newspaper"
"Apps,Online,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Apps,Online,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Satellite Radio,Print Magazine,Word of mouth",1,"Apps,Online,Satellite Radio,Print Magazine,Word of mouth"
"Apps,Online,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok)",3,"Apps,Online,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Social Media (e.g. Facebook, Instagram, TikTok)",25,"Apps,Online,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",13,"Apps,Online,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Word of mouth",4,"Apps,Online,Word of mouth"
"Apps,Radio",3,"Apps,Radio"
"Apps,Radio,Newspaper,Print Magazine",1,"Apps,Radio,Newspaper,Print Magazine"
"Apps,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Social Media (e.g. Facebook, Instagram, TikTok)",7,"Apps,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Word of mouth",2,"Apps,Word of mouth"
Broadcast television,29,Broadcast television
"Broadcast television,Cable television",24,"Broadcast television,Cable television"
"Broadcast television,Cable television,12",1,"Broadcast television,Cable television,12"
"Broadcast television,Cable television,Newspaper",5,"Broadcast television,Cable television,Newspaper"
"Broadcast television,Cable television,Newspaper,Print Magazine",1,"Broadcast television,Cable television,Newspaper,Print Magazine"
"Broadcast television,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Broadcast television,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Broadcast television,Cable television,Newspaper,Print Magazine,Word of mouth",2,"Broadcast television,Cable television,Newspaper,Print Magazine,Word of mouth"
"Broadcast television,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",2,"Broadcast television,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Broadcast television,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Broadcast television,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Broadcast television,Cable television,Newspaper,Word of mouth",5,"Broadcast television,Cable television,Newspaper,Word of mouth"
"Broadcast television,Cable television,Print Magazine",2,"Broadcast television,Cable television,Print Magazine"
"Broadcast television,Cable television,Radio",11,"Broadcast television,Cable television,Radio"
"Broadcast television,Cable television,Radio,Newspaper",9,"Broadcast television,Cable television,Radio,Newspaper"
"Broadcast television,Cable television,Radio,Newspaper,Print Magazine",2,"Broadcast television,Cable television,Radio,Newspaper,Print Magazine"
"Broadcast television,Cable television,Radio,Newspaper,Print Magazine,Word of mouth",1,"Broadcast television,Cable television,Radio,Newspaper,Print Magazine,Word of mouth"
"Broadcast television,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Broadcast television,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Broadcast television,Cable television,Radio,Newspaper,Word of mouth",3,"Broadcast television,Cable television,Radio,Newspaper,Word of mouth"
"Broadcast television,Cable television,Radio,Print Magazine,Word of mouth",1,"Broadcast television,Cable television,Radio,Print Magazine,Word of mouth"
"Broadcast television,Cable television,Radio,Satellite Radio",1,"Broadcast television,Cable television,Radio,Satellite Radio"
"Broadcast television,Cable television,Radio,Satellite Radio,Newspaper",1,"Broadcast television,Cable television,Radio,Satellite Radio,Newspaper"
"Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Word of mouth",1,"Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Word of mouth"
"Broadcast television,Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Broadcast television,Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok)"
"Broadcast television,Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Broadcast television,Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Broadcast television,Cable television,Radio,Word of mouth",1,"Broadcast television,Cable television,Radio,Word of mouth"
"Broadcast television,Cable television,Social Media (e.g. Facebook, Instagram, TikTok)",3,"Broadcast television,Cable television,Social Media (e.g. Facebook, Instagram, TikTok)"
"Broadcast television,Cable television,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Broadcast television,Cable television,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Broadcast television,Cable television,Word of mouth",2,"Broadcast television,Cable television,Word of mouth"
"Broadcast television,Newspaper",9,"Broadcast television,Newspaper"
"Broadcast television,Newspaper,Print Magazine,Word of mouth",2,"Broadcast television,Newspaper,Print Magazine,Word of mouth"
"Broadcast television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Broadcast television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Broadcast television,Radio",7,"Broadcast television,Radio"
"Broadcast television,Radio,Newspaper",1,"Broadcast television,Radio,Newspaper"
"Broadcast television,Radio,Newspaper,Print Magazine",1,"Broadcast television,Radio,Newspaper,Print Magazine"
"Broadcast television,Radio,Newspaper,Print Magazine,Word of mouth",1,"Broadcast television,Radio,Newspaper,Print Magazine,Word of mouth"
"Broadcast television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",2,"Broadcast television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Broadcast television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",2,"Broadcast television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Broadcast television,Radio,Newspaper,Word of mouth",2,"Broadcast television,Radio,Newspaper,Word of mouth"
"Broadcast television,Radio,Print Magazine",2,"Broadcast television,Radio,Print Magazine"
"Broadcast television,Radio,Satellite Radio,Newspaper",1,"Broadcast television,Radio,Satellite Radio,Newspaper"
"Broadcast television,Radio,Social Media (e.g. Facebook, Instagram, TikTok)",4,"Broadcast television,Radio,Social Media (e.g. Facebook, Instagram, TikTok)"
"Broadcast television,Radio,Word of mouth",1,"Broadcast television,Radio,Word of mouth"
"Broadcast television,Social Media (e.g. Facebook, Instagram, TikTok)",5,"Broadcast television,Social Media (e.g. Facebook, Instagram, TikTok)"
"Broadcast television,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",2,"Broadcast television,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Broadcast television,Word of mouth",3,"Broadcast television,Word of mouth"
Cable television,27,Cable television
"Cable television,Newspaper",7,"Cable television,Newspaper"
"Cable television,Newspaper,Print Magazine",1,"Cable television,Newspaper,Print Magazine"
"Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Cable television,Newspaper,Print Magazine,Word of mouth",1,"Cable television,Newspaper,Print Magazine,Word of mouth"
"Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Cable television,Newspaper,Word of mouth",2,"Cable television,Newspaper,Word of mouth"
"Cable television,Print Magazine",1,"Cable television,Print Magazine"
"Cable television,Radio",6,"Cable television,Radio"
"Cable television,Radio,Newspaper,Print Magazine",2,"Cable television,Radio,Newspaper,Print Magazine"
"Cable television,Radio,Newspaper,Print Magazine,Word of mouth",2,"Cable television,Radio,Newspaper,Print Magazine,Word of mouth"
"Cable television,Radio,Newspaper,Word of mouth",4,"Cable television,Radio,Newspaper,Word of mouth"
"Cable television,Radio,Satellite Radio",1,"Cable television,Radio,Satellite Radio"
"Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Cable television,Social Media (e.g. Facebook, Instagram, TikTok)",2,"Cable television,Social Media (e.g. Facebook, Instagram, TikTok)"
"Cable television,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Cable television,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Cable television,Word of mouth",4,"Cable television,Word of mouth"
Newspaper,5,Newspaper
"Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",2,"Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
Not applicable,17,Not applicable
Online,54,Online
"Online,Broadcast television",20,"Online,Broadcast television"
"Online,Broadcast television,Cable television",21,"Online,Broadcast television,Cable television"
"Online,Broadcast television,Cable television,Newspaper",18,"Online,Broadcast television,Cable television,Newspaper"
"Online,Broadcast television,Cable television,Newspaper,Print Magazine",4,"Online,Broadcast television,Cable television,Newspaper,Print Magazine"
"Online,Broadcast television,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",2,"Online,Broadcast television,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",4,"Online,Broadcast television,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Broadcast television,Cable television,Newspaper,Print Magazine,Word of mouth",2,"Online,Broadcast television,Cable television,Newspaper,Print Magazine,Word of mouth"
"Online,Broadcast television,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",11,"Online,Broadcast television,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Online,Broadcast television,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Broadcast television,Cable television,Newspaper,Word of mouth",5,"Online,Broadcast television,Cable television,Newspaper,Word of mouth"
"Online,Broadcast television,Cable television,Print Magazine",1,"Online,Broadcast television,Cable television,Print Magazine"
"Online,Broadcast television,Cable television,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Online,Broadcast television,Cable television,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Cable television,Radio",4,"Online,Broadcast television,Cable television,Radio"
"Online,Broadcast television,Cable television,Radio,Newspaper",11,"Online,Broadcast television,Cable television,Radio,Newspaper"
"Online,Broadcast television,Cable television,Radio,Newspaper,Print Magazine",9,"Online,Broadcast television,Cable television,Radio,Newspaper,Print Magazine"
"Online,Broadcast television,Cable television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",4,"Online,Broadcast television,Cable television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Cable television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",4,"Online,Broadcast television,Cable television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Broadcast television,Cable television,Radio,Newspaper,Print Magazine,Word of mouth",3,"Online,Broadcast television,Cable television,Radio,Newspaper,Print Magazine,Word of mouth"
"Online,Broadcast television,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",8,"Online,Broadcast television,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",4,"Online,Broadcast television,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Broadcast television,Cable television,Radio,Newspaper,Word of mouth",4,"Online,Broadcast television,Cable television,Radio,Newspaper,Word of mouth"
"Online,Broadcast television,Cable television,Radio,Print Magazine",2,"Online,Broadcast television,Cable television,Radio,Print Magazine"
"Online,Broadcast television,Cable television,Radio,Print Magazine,Word of mouth",1,"Online,Broadcast television,Cable television,Radio,Print Magazine,Word of mouth"
"Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",3,"Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Print Magazine,Word of mouth",1,"Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Print Magazine,Word of mouth"
"Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",4,"Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Word of mouth",1,"Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Word of mouth"
"Online,Broadcast television,Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok)",4,"Online,Broadcast television,Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",4,"Online,Broadcast television,Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Broadcast television,Cable television,Radio,Word of mouth",3,"Online,Broadcast television,Cable television,Radio,Word of mouth"
"Online,Broadcast television,Cable television,Satellite Radio",1,"Online,Broadcast television,Cable television,Satellite Radio"
"Online,Broadcast television,Cable television,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Online,Broadcast television,Cable television,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Cable television,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Online,Broadcast television,Cable television,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Broadcast television,Cable television,Satellite Radio,Newspaper,Print Magazine,Word of mouth",1,"Online,Broadcast television,Cable television,Satellite Radio,Newspaper,Print Magazine,Word of mouth"
"Online,Broadcast television,Cable television,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Online,Broadcast television,Cable television,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Cable television,Satellite Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Online,Broadcast television,Cable television,Satellite Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Broadcast television,Cable television,Satellite Radio,Word of mouth",1,"Online,Broadcast television,Cable television,Satellite Radio,Word of mouth"
"Online,Broadcast television,Cable television,Social Media (e.g. Facebook, Instagram, TikTok)",3,"Online,Broadcast television,Cable television,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Cable television,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",3,"Online,Broadcast television,Cable television,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Broadcast television,Cable television,Word of mouth",1,"Online,Broadcast television,Cable television,Word of mouth"
"Online,Broadcast television,Newspaper",9,"Online,Broadcast television,Newspaper"
"Online,Broadcast television,Newspaper,Print Magazine",4,"Online,Broadcast television,Newspaper,Print Magazine"
"Online,Broadcast television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",3,"Online,Broadcast television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",2,"Online,Broadcast television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Broadcast television,Newspaper,Print Magazine,Word of mouth",2,"Online,Broadcast television,Newspaper,Print Magazine,Word of mouth"
"Online,Broadcast television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",7,"Online,Broadcast television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Online,Broadcast television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Broadcast television,Newspaper,Word of mouth",2,"Online,Broadcast television,Newspaper,Word of mouth"
"Online,Broadcast television,Print Magazine",1,"Online,Broadcast television,Print Magazine"
"Online,Broadcast television,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Online,Broadcast television,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Print Magazine,Word of mouth",1,"Online,Broadcast television,Print Magazine,Word of mouth"
"Online,Broadcast television,Radio",4,"Online,Broadcast television,Radio"
"Online,Broadcast television,Radio,Newspaper",9,"Online,Broadcast television,Radio,Newspaper"
"Online,Broadcast television,Radio,Newspaper,Print Magazine",5,"Online,Broadcast television,Radio,Newspaper,Print Magazine"
"Online,Broadcast television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",3,"Online,Broadcast television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Online,Broadcast television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Broadcast television,Radio,Newspaper,Print Magazine,Word of mouth",1,"Online,Broadcast television,Radio,Newspaper,Print Magazine,Word of mouth"
"Online,Broadcast television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",6,"Online,Broadcast television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Online,Broadcast television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Broadcast television,Radio,Newspaper,Word of mouth",5,"Online,Broadcast television,Radio,Newspaper,Word of mouth"
"Online,Broadcast television,Radio,Print Magazine",2,"Online,Broadcast television,Radio,Print Magazine"
"Online,Broadcast television,Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Online,Broadcast television,Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Broadcast television,Radio,Print Magazine,Word of mouth",1,"Online,Broadcast television,Radio,Print Magazine,Word of mouth"
"Online,Broadcast television,Radio,Satellite Radio",1,"Online,Broadcast television,Radio,Satellite Radio"
"Online,Broadcast television,Radio,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Online,Broadcast television,Radio,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Radio,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Online,Broadcast television,Radio,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Broadcast television,Radio,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",2,"Online,Broadcast television,Radio,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Radio,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Online,Broadcast television,Radio,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Broadcast television,Radio,Satellite Radio,Newspaper,Word of mouth",1,"Online,Broadcast television,Radio,Satellite Radio,Newspaper,Word of mouth"
"Online,Broadcast television,Radio,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Online,Broadcast television,Radio,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",6,"Online,Broadcast television,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Broadcast television,Radio,Word of mouth",7,"Online,Broadcast television,Radio,Word of mouth"
"Online,Broadcast television,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Online,Broadcast television,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Online,Broadcast television,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Broadcast television,Social Media (e.g. Facebook, Instagram, TikTok)",7,"Online,Broadcast television,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Broadcast television,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",5,"Online,Broadcast television,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Broadcast television,Word of mouth",3,"Online,Broadcast television,Word of mouth"
"Online,Cable television",19,"Online,Cable television"
"Online,Cable television,Newspaper",11,"Online,Cable television,Newspaper"
"Online,Cable television,Newspaper,Print Magazine",3,"Online,Cable television,Newspaper,Print Magazine"
"Online,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",2,"Online,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Cable television,Newspaper,Print Magazine,Word of mouth",1,"Online,Cable television,Newspaper,Print Magazine,Word of mouth"
"Online,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",3,"Online,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",4,"Online,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Online,Cable television,Newspaper,Word of mouth",1,"Online,Cable television,Newspaper,Word of mouth"
"Online,Cable television,Print Magazine",1,"Online,Cable television,Print Magazine"
"Online,Cable television,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",3,"Online,Cable television,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Online,Cable television,Radio",6,"Online,Cable television,Radio"
"Online,Cable television,Radio,Newspaper",5,"Online,Cable television,Radio,Newspaper"
"Online,Cable television,Radio,Newspaper,Print Magazine",3,"Online,Cable television,Radio,Newspaper,Print Magazine"
"Online,Cable television,Radio,Newspaper,Print Magazine,Word of mouth",6,"Online,Cable television,Radio,Newspaper,Print Magazine,Word of mouth"
"Online,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",2,"Online,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
